article_id,category,title,date,content,summary,source_url,source_name,company_tag,keywords,collected_at,has_null,is_duplicate_seed,data_origin
CLN-00001,market,피지컬 AI는 미국 제조업을 구원할 수 있을까 [PADO] - 머니투데이,2026-09-19,피지컬 AI는 미국 제조업을 구원할 수 있을까 [PADO] - 머니투데이 mt.co.kr,피지컬 AI는 미국 제조업을 구원할 수 있을까 [PADO] - 머니투데이 mt.co.kr,https://news.google.com/rss/articles/CBMiaEFVX3lxTE8wRWNVR1ZuTjlFbGJCcmpfbkxtTVE0dGtHOW8wZWZxYkkzTUk1VTN3c2ZyRVkyMC1Qa3poQlRkWld3MlByVTU3ckZyQ2JiaDRaQnNkWTJDSWZVS0p0ajd2Q3dBUXhTcHFH0gFuQVVfeXFMTlRtamdTVm9LVmxWVk9TRWVQNV9KMXFVWnctYTV1V3dBVG5pZ1BYaTU4V2ZtV0paeXp5enV5WDJMSFpJeGMtVUluWXpod0JVQ2dVc2R1Q3JwQkRwbW5QaUx2ZVN0anduQkxsNy1mcXc?oc=5,mt.co.kr,,AI,2026-09-19T15:38:10.090473+09:00,False,False,live
CLN-00002,market,"미소정보기술, 정부 'M.AX 전문기업' 선정…제조 AI 사업 확대",2026-09-18,"미소정보기술, 정부 'M.AX 전문기업' 선정…제조 AI 사업 확대 지디넷코리아","미소정보기술, 정부 'M.AX 전문기업' 선정…제조 AI 사업 확대 지디넷코리아",https://news.google.com/rss/articles/CBMiVkFVX3lxTFAxQmFwOXllOC1tZzdaMVpoUUhzZE5qWmlaSHRBaFpCb1BFN1hzOGV3RmdnRGxqeG50YWxPU1ZaUDZDbkx5cDZmNTc2eFlwZ3BaWi1yTm9n?oc=5,지디넷코리아,,AI,2026-09-19T15:38:10.090473+09:00,False,False,live
CLN-00003,market,車·조선·석유화학에 AI 입힌다…울산 ‘제조 대전환’ 승부수,2026-09-18,車·조선·석유화학에 AI 입힌다…울산 ‘제조 대전환’ 승부수 서울경제,車·조선·석유화학에 AI 입힌다…울산 ‘제조 대전환’ 승부수 서울경제,https://news.google.com/rss/articles/CBMiUkFVX3lxTE8xNzczWkVPQTBPanU2QXdXWWVTS1lUNDVpcGtvcVp4a3FGUWk5OFFSaTA5M3E4ZUJvZkt5MkhkbXR0THVmMVViUHVLWUdTN0NLNWfSAVNBVV95cUxNUHNEU2dNY3ZKaGZpNkE0aElkNEx4a0g4NV9oNkg4ekJCWGlLdHVyWFhxQUM1dndNOXZ3M0ZUbDUtLUZ3d2ZHVHFTWU9rWURpdHFZTQ?oc=5,서울경제,,AI,2026-09-19T15:38:10.090473+09:00,False,False,live
CLN-00004,market,피지컬 AI 제조업 연계·협력 방안 논의,2026-09-17,피지컬 AI 제조업 연계·협력 방안 논의 경남매일,피지컬 AI 제조업 연계·협력 방안 논의 경남매일,https://news.google.com/rss/articles/CBMiakFVX3lxTE42QjVPVXVURnFTNk92YTJ0ai11djhWb2VPZ3kzLW1rMVVMWU4zaTBEVkEyMnloOF9yQlluZHZLcUU5OWtJbFlueEZhQ0RGNjNYMEJoOTRPdmM5aFdGR2RQWl9ac3IyNHR2M2c?oc=5,경남매일,,AI,2026-09-19T15:38:10.090473+09:00,False,False,live
CLN-00005,market,"경남, 제조업 AI 전환 속도 실물 AI·휴머노이드 생태계 구축",2026-09-17,"경남, 제조업 AI 전환 속도 실물 AI·휴머노이드 생태계 구축 천지일보","경남, 제조업 AI 전환 속도 실물 AI·휴머노이드 생태계 구축 천지일보",https://news.google.com/rss/articles/CBMiakFVX3lxTE9aTkhlZjlKUXVDdTJWUDg3ZEFCVHN3alBtY25vdUJOOS16bmQ1Zjk0b0hCdjdVYjFhTEZ3RDMtQlVRcEtpLVdYd2ZDZ2x6Tm93cGhzemlCTGhEcXQxTDFsbHdTZkxHUVJaYlE?oc=5,천지일보,,AI,2026-09-19T15:38:10.090473+09:00,False,False,live
CLN-00006,market,경남 '제조 AI 거점' 열었다…GPU 40장 갖춘 공공형 AI센터 가동,2026-09-17,경남 '제조 AI 거점' 열었다…GPU 40장 갖춘 공공형 AI센터 가동 v.daum.net,경남 '제조 AI 거점' 열었다…GPU 40장 갖춘 공공형 AI센터 가동 v.daum.net,https://news.google.com/rss/articles/CBMiT0FVX3lxTFBybGdBSUVsem01NUVkZ0NLa0kxRjB6U2x3cnJrbE5iZ084OHJ5encweEFxRnpReGFxMUx4N05lcmRjX3J1T04yNjR5TlVrVE0?oc=5,v.daum.net,,AI,2026-09-19T15:38:10.090473+09:00,False,False,live
CLN-00007,market,"NC AI, 제조업 위한 피지컬AI 사업 확대",2026-09-17,"NC AI, 제조업 위한 피지컬AI 사업 확대 한국일보","NC AI, 제조업 위한 피지컬AI 사업 확대 한국일보",https://news.google.com/rss/articles/CBMibkFVX3lxTFBTM0FtNUhpbktBU3ZldTUxRE9pcnBESjJFQWYzQnpnMHVFSEJqbWp4bHVnRm5mdmEyVGl3YU0wbTdtcVIxTGNaalRsUUFoZG9JVUNNM2tra1REUjJxaXNRSHRCYVBOQ3pOUTBNWVV30gFzQVVfeXFMTUQ0Uk0yWU45LUtuZHJqM2M3RUVOZGNiODhwd3RuTU5paHRIWGRFR2NOYWZwTEE5Nk9Xekp4UVFvTHVBdFBLTG5DTXBUTjRDOFBOUm00bHFvWkdYaHBIaFBfWE5pRU4tbWtNY0xicHZpUldnWQ?oc=5,한국일보,,AI,2026-09-19T15:38:10.090473+09:00,False,False,live
CLN-00008,market,"제조 AX, 고정설비 넘어 피지컬 AI로 비정형 작업까지 확장해야",2026-09-19,"제조 AX, 고정설비 넘어 피지컬 AI로 비정형 작업까지 확장해야 산업일보","제조 AX, 고정설비 넘어 피지컬 AI로 비정형 작업까지 확장해야 산업일보",https://news.google.com/rss/articles/CBMiREFVX3lxTFBuUGYweHNRb1hFdzZJS2NOczhYTUlBX2NWOXJ2ekdvVk1pbEZPOUNUTXQyeFBGaVR2U3BiV0VFWHNJa0Rn?oc=5,산업일보,,AI,2026-09-19T15:38:10.090473+09:00,False,False,live
CLN-00009,market,"[창간24/AI發 K자 성장③] 화면 밖으로 나온 AI, 제조업 판도 바꾼다",2026-09-17,"[창간24/AI發 K자 성장③] 화면 밖으로 나온 AI, 제조업 판도 바꾼다 서울파이낸스","[창간24/AI發 K자 성장③] 화면 밖으로 나온 AI, 제조업 판도 바꾼다 서울파이낸스",https://news.google.com/rss/articles/CBMiakFVX3lxTE9qTmxDMk1wWm1oOWxZMzR1WFoxMzFpRWxwMi1YdGFZSFF6ZDNNb0hlbDAyeDNzWlNfRlRhVlBpeVRiYTRmRzhrb2tIZUMwVDFBWkE4R0lQdk0wQ0w1MDQ2ZkR3THNHSkRRWHc?oc=5,서울파이낸스,,AI,2026-09-19T15:38:10.090473+09:00,False,False,live
CLN-00010,market,"[아주초대석] 정하중 한국지멘스 사장 韓 제조 AI, 늦지 않았다…관건은 데이터 활용",2026-09-17,"[아주초대석] 정하중 한국지멘스 사장 韓 제조 AI, 늦지 않았다…관건은 데이터 활용 아주경제","[아주초대석] 정하중 한국지멘스 사장 韓 제조 AI, 늦지 않았다…관건은 데이터 활용 아주경제",https://news.google.com/rss/articles/CBMiWkFVX3lxTE40eWVFOW5YSTRUV3BRS1Fzby1wdFlpeTRDX3RUY2JZUnBrRFY5M1BXbkwyVGZNTThqT01qRW5Ldzl3b1ZHQXdDbXFmNkpNUVNNRjlqVDBGRWtkd9IBWEFVX3lxTFBaaDA5MjUta2RkU1lwamVHUTF4ZFl3UnNjNDVxdzRQZ1JiSU1IX1FCMTVWYVNxcjYtWkFLM3JkdXNnczU3R1k1YUhYcTNzZ2Y1SXZoaXNyUkg?oc=5,아주경제,,AI,2026-09-19T15:38:10.090473+09:00,False,False,live
